signature,support,majority_label,majority_count,purity,n_labels,is_deterministic,label_counts
"(1, 0, 1, 3, 0, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 0, 3, 0)",17,38,16,0.9411764705882353,2,False,"{38: 16, 47: 1}"
"(1, 2, 1, 0, 1, 0, 1, 2, 1, 1, 2, 1, 1, 0, 2, 0, 1, 2)",17,18,15,0.8823529411764706,3,False,"{18: 15, 36: 1, 20: 1}"
"(0, 1, 3, 0, 1, 0, 3, 0, 3, 3, 0, 3, 3, 1, 0, 0, 0, 2)",17,49,15,0.8823529411764706,3,False,"{49: 15, 17: 1, 2: 1}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1)",17,0,10,0.5882352941176471,4,False,"{0: 10, 39: 5, 48: 1, 6: 1}"
"(0, 0, 3, 0, 0, 1, 3, 0, 3, 3, 1, 3, 3, 0, 0, 0, 0, 3)",17,17,10,0.5882352941176471,4,False,"{17: 10, 49: 5, 8: 1, 2: 1}"
"(0, 0, 3, 0, 1, 0, 3, 0, 3, 3, 0, 3, 3, 1, 0, 0, 0, 2)",17,49,8,0.47058823529411764,3,False,"{49: 8, 2: 6, 17: 3}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1)",17,39,7,0.4117647058823529,6,False,"{39: 7, 0: 5, 6: 2, 48: 1, 41: 1, 22: 1}"
"(2, 0, 1, 3, 2, 3, 1, 3, 1, 1, 0, 1, 1, 1, 2, 3, 1, 0)",16,14,16,1.0,1,True,{14: 16}
"(1, 3, 0, 0, 2, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1)",16,0,12,0.75,2,False,"{0: 12, 39: 4}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1)",16,39,10,0.625,5,False,"{39: 10, 0: 3, 48: 1, 41: 1, 45: 1}"
"(0, 1, 0, 2, 1, 0, 0, 2, 0, 0, 1, 0, 0, 3, 0, 0, 3, 0)",16,28,9,0.5625,3,False,"{28: 9, 26: 5, 43: 2}"
"(0, 1, 3, 0, 2, 0, 3, 0, 3, 3, 0, 3, 3, 1, 0, 0, 0, 2)",16,49,9,0.5625,3,False,"{49: 9, 2: 6, 17: 1}"
"(0, 0, 0, 3, 1, 3, 0, 3, 0, 0, 1, 0, 0, 1, 1, 1, 3, 0)",16,31,7,0.4375,5,False,"{31: 7, 7: 5, 21: 2, 45: 1, 9: 1}"
"(0, 0, 3, 0, 1, 2, 3, 0, 3, 3, 0, 3, 3, 0, 0, 1, 0, 2)",16,49,7,0.4375,4,False,"{49: 7, 17: 4, 8: 4, 23: 1}"
"(1, 2, 1, 0, 1, 0, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2)",16,18,6,0.375,5,False,"{18: 6, 27: 5, 36: 2, 15: 2, 20: 1}"
"(0, 0, 3, 0, 1, 0, 3, 0, 3, 3, 1, 3, 3, 1, 0, 0, 0, 2)",16,49,6,0.375,3,False,"{49: 6, 17: 5, 2: 5}"
"(2, 2, 0, 2, 2, 2, 0, 3, 0, 0, 1, 0, 0, 0, 2, 3, 1, 1)",15,12,15,1.0,1,True,{12: 15}
"(0, 0, 0, 2, 0, 1, 0, 2, 0, 0, 3, 0, 0, 1, 3, 0, 3, 1)",15,19,13,0.8666666666666667,2,False,"{19: 13, 24: 2}"
"(0, 1, 3, 0, 1, 0, 3, 0, 3, 3, 0, 3, 3, 0, 0, 0, 0, 3)",15,49,13,0.8666666666666667,3,False,"{49: 13, 17: 1, 2: 1}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2)",15,6,12,0.8,3,False,"{6: 12, 48: 2, 20: 1}"
"(0, 0, 2, 3, 0, 3, 2, 2, 2, 1, 1, 1, 1, 0, 1, 1, 2, 1)",15,44,11,0.7333333333333333,2,False,"{44: 11, 1: 4}"
"(0, 0, 3, 0, 0, 1, 3, 0, 3, 3, 1, 3, 3, 0, 1, 0, 0, 2)",15,17,11,0.7333333333333333,3,False,"{17: 11, 8: 3, 49: 1}"
"(0, 0, 3, 0, 1, 1, 3, 0, 3, 3, 0, 3, 3, 1, 0, 1, 0, 2)",15,49,10,0.6666666666666666,4,False,"{49: 10, 17: 3, 23: 1, 2: 1}"
"(0, 0, 3, 0, 0, 1, 3, 0, 3, 3, 0, 3, 3, 0, 0, 0, 0, 3)",15,17,8,0.5333333333333333,3,False,"{17: 8, 49: 6, 8: 1}"
"(0, 3, 0, 0, 2, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2)",15,20,7,0.4666666666666667,4,False,"{20: 7, 6: 4, 48: 3, 39: 1}"
"(2, 0, 0, 3, 2, 3, 0, 3, 0, 0, 1, 0, 0, 1, 2, 3, 2, 0)",15,40,6,0.4,3,False,"{40: 6, 12: 6, 14: 3}"
"(0, 3, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1)",15,22,6,0.4,4,False,"{22: 6, 48: 5, 6: 3, 7: 1}"
"(0, 3, 1, 0, 1, 0, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2)",15,36,5,0.3333333333333333,5,False,"{36: 5, 20: 5, 48: 2, 15: 2, 6: 1}"
"(1, 3, 0, 0, 1, 0, 0, 3, 0, 0, 1, 1, 1, 0, 1, 0, 1, 2)",15,36,4,0.26666666666666666,6,False,"{36: 4, 18: 4, 48: 3, 15: 2, 27: 1, 6: 1}"
"(0, 1, 0, 1, 1, 0, 1, 2, 0, 1, 1, 1, 1, 3, 0, 0, 2, 0)",14,28,14,1.0,1,True,{28: 14}
"(1, 0, 0, 3, 1, 3, 0, 3, 0, 0, 2, 0, 0, 0, 2, 2, 3, 0)",14,42,14,1.0,1,True,{42: 14}
"(3, 3, 0, 0, 2, 0, 0, 3, 0, 1, 1, 1, 1, 0, 2, 1, 1, 1)",14,37,14,1.0,1,True,{37: 14}
"(1, 3, 1, 0, 1, 0, 1, 3, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2)",14,27,13,0.9285714285714286,2,False,"{27: 13, 18: 1}"
"(0, 0, 3, 0, 1, 1, 3, 0, 3, 3, 0, 3, 3, 1, 0, 0, 0, 3)",14,49,13,0.9285714285714286,2,False,"{49: 13, 17: 1}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1)",14,39,11,0.7857142857142857,2,False,"{39: 11, 0: 3}"
"(0, 0, 3, 0, 1, 1, 3, 0, 3, 3, 1, 3, 3, 0, 0, 0, 0, 2)",14,17,10,0.7142857142857143,3,False,"{17: 10, 2: 3, 49: 1}"
"(2, 0, 0, 3, 0, 0, 0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 3, 0)",14,25,9,0.6428571428571429,2,False,"{25: 9, 33: 5}"
"(0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 3, 0, 0, 1, 3, 0, 3, 1)",14,19,8,0.5714285714285714,2,False,"{19: 8, 24: 6}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1)",14,48,5,0.35714285714285715,3,False,"{48: 5, 39: 5, 0: 4}"
"(0, 3, 0, 0, 2, 0, 0, 3, 0, 1, 0, 1, 1, 0, 0, 0, 1, 2)",13,6,13,1.0,1,True,{6: 13}
"(0, 2, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1)",13,22,13,1.0,1,True,{22: 13}
"(2, 3, 1, 1, 3, 1, 1, 3, 1, 1, 0, 1, 1, 0, 1, 3, 1, 1)",13,30,13,1.0,1,True,{30: 13}
"(0, 0, 0, 3, 0, 1, 0, 3, 0, 0, 1, 1, 1, 1, 0, 0, 3, 0)",13,45,13,1.0,1,True,{45: 13}
"(3, 3, 0, 1, 2, 0, 0, 3, 0, 0, 1, 0, 0, 0, 2, 2, 1, 1)",13,37,13,1.0,1,True,{37: 13}
"(0, 1, 0, 2, 1, 0, 0, 2, 0, 1, 0, 1, 1, 3, 0, 0, 2, 0)",13,28,13,1.0,1,True,{28: 13}
"(0, 2, 1, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2)",13,36,11,0.8461538461538461,3,False,"{36: 11, 27: 1, 20: 1}"
"(1, 2, 1, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 2)",13,36,11,0.8461538461538461,3,False,"{36: 11, 27: 1, 18: 1}"
